sale_id,sale_date,product_id,product_name,category,quantity,unit_price,total_price,customer_id,customer_name,country
8fdd30ed-94f8-4326-8aa8-30c114cbd522,2024-01-23,f0f44718-5769-428d-b448-6a74e276e71e,Kitchen,Food,9,293.11,2637.99,e90d2896-6794-456a-a856-ce4d88f7ee4e,Michelle Shaw,South Georgia and the South Sandwich Islands
e1a07dcf-f19b-48b2-b303-7f0cdcb9fe4c,2024-03-14,ba991185-690c-47f5-8a25-41427fdf3817,Number,Books,9,264.98,2384.82,15417687-c49a-4f9c-a9a4-42caf1a4df2f,William Howard,Taiwan
837b2883-1c33-4cb1-b4b9-570f91a543f8,2024-07-12,e40107f8-27f6-4b66-b112-02899a050cf8,Town,Food,9,144.0,1296.0,8be8b6a6-adcb-472e-b8fb-1ec613b5b759,Peter Bowen,Wallis and Futuna
b6a192f6-0a24-4338-91b7-68f001fce36f,2024-08-14,c253e8f5-f785-4c7f-a14a-21df84840947,So,Clothing,9,121.11,1089.99,5bb34a1b-01c9-4c69-9f38-3a2238cce994,Nicole Santiago,New Caledonia
4b628d92-21a8-4349-b4f1-28c682eec708,2024-06-23,339090b1-c9ed-40c4-8249-bba8715c71ae,Democratic,Electronics,16,412.48,6599.68,d0fb498c-f72e-40bd-9242-f7aae17ac74a,Richard Ross,Qatar
96e8d67f-c620-4f0e-bbb6-9963a9dadb6b,2023-11-16,db5039e8-5927-4443-948a-950a665b7636,Whatever,Food,10,353.45,3534.5,02e1ea7a-d504-465b-b9df-6613cb36ddd5,Pamela Green,Turkmenistan
7ea7e931-11fd-4482-afae-0b6b979aee31,2024-05-06,9d425f94-5f7c-4299-b9f2-b3b62021003c,Future,Books,14,276.53,3871.42,216f287e-071b-4b1c-ab44-6810d55b5898,Jamie Griffin,Sierra Leone
ce60b862-43ca-49dd-9158-920888705435,2024-01-14,69bbc0b0-9693-40be-b3c9-2674d8e7f31f,Result,Furniture,6,231.27,1387.62,37db5c7c-89b3-41d8-a288-7f7ce182a53d,Samantha Reynolds,Botswana
59bfc894-9921-47ab-8444-679fdaacf039,2024-03-16,ceafc81e-51cf-49b1-9be6-13e18771eae5,Beyond,Food,7,195.83,1370.81,4f71c6df-9dd9-4581-9ffe-5f35529179cb,Ronald Williams,Tunisia
98abda83-c84f-4d64-9452-07c9ef782963,2024-03-02,9baf8d41-797a-4709-917d-a17b42d5401e,Appear,Electronics,13,291.32,3787.16,3fe3ae5d-8d74-45f1-83d0-193bf9640861,Jared Taylor,Jamaica
ba86a200-0943-4642-934c-af9792d6538f,2024-07-06,bd1e01c0-e132-4d47-8a4d-90f9c1b7f8db,See,Clothing,8,212.53,1700.24,32ce6eb3-9847-46ff-9a17-48bad072084e,Isaac Ford,Hungary
d3a809b0-309d-44d7-9ee7-446289169633,2024-09-08,6fa7bfc7-84af-44c3-8642-68cb870ef18f,Recent,Furniture,5,392.63,1963.15,3e8d9e72-c4fb-438e-9a40-b2e56665c712,Jason Smith,Burundi
0a90c0db-f244-420d-a8f0-f1978967ab37,2024-02-10,db66b0c8-0010-408a-83fb-4bf0f887a178,Take,Food,16,486.2,7779.2,11abc511-8404-474a-badf-d2fb998ee2d8,Yolanda Fisher,Slovenia
efc6c00b-69ee-4fdc-8556-eaf6e06c5459,2024-04-09,a12b25b7-1741-4d5b-9a6e-201115593836,Allow,Food,18,279.95,5039.1,cd01b497-a894-467b-86f0-e26c28ded9f5,Erica Nguyen,Maldives
391ddbe4-2fc5-44ac-b380-44d5a86226be,2024-07-29,1261fe71-db2d-45c1-bad9-a35fddc496cc,Personal,Electronics,1,367.59,367.59,6a486849-a9a2-4c21-b1b9-682627cd1d3c,Justin Harris,Lesotho
faa1d7bf-2d71-44ea-b68a-ba071df9eece,2024-07-07,0cc47586-44df-4cca-b3c3-a43f186f22e6,Address,Electronics,2,422.5,845.0,5fd70898-e681-45d3-adb5-98da4f592f49,John Miller,Cyprus
e64a5863-7736-4e60-bd50-f0dca4eddc85,2024-10-07,c119d9eb-3e62-403d-9a48-d496b4f726ae,Today,Food,7,161.61,1131.27,1a713749-41d4-4f84-80ca-85523ad6ef81,Bobby Evans,Guernsey
48c95d64-73c1-4eb3-b709-b83d3269b385,2024-03-10,cd67b2ee-f7e5-4df8-b5ad-d56acc2e7da0,Paper,Clothing,18,385.66,6941.88,2370cf11-28e7-4b2d-88e3-ba07fe97fd8a,Jesse Novak,Croatia
cc008d58-541f-4f71-8213-2ffb600a70ef,2024-08-29,17c5aa5e-d8a0-4141-9986-782762e1b55e,Outside,Books,2,404.99,809.98,f16328ce-9572-4afc-8b95-7dd17cf7ba6f,Jorge Acosta,Australia
a4c83e41-9f5d-452b-af7f-6a838ad52f2d,2024-07-13,c37a1b57-377e-439d-a3bf-0e9aa6578faa,Process,Food,1,391.85,391.85,b86226b7-b80e-4ea2-bed5-25b8ce645fcb,David Rios,Montserrat
9931c602-22b9-413e-8ce9-e4b74dd1d230,2024-01-04,f83eced8-2392-41e5-ba0d-207ce07a896f,Meeting,Clothing,6,164.14,984.84,195c036a-4cb0-4994-b515-556208e8a035,Shawn Henry,China
209c8719-1ed4-4496-a4bf-e9320ba72f7e,2024-06-18,d696a8c1-41d1-4e4b-be4f-7eda4189e1c2,Western,Food,14,353.85,4953.9,36e4c7a0-09bb-4d11-a578-f1aa675b404a,Savannah Gilmore,Uruguay
6fffa7a3-eaef-4de1-b1d6-bea7e1b15cd9,2024-01-11,b91515d0-e4c9-444e-b59d-2f49c062b709,Work,Books,19,409.58,7782.02,b36dbdda-a33c-460f-9521-faf3cf1c5369,Michael Schmidt,Cocos (Keeling) Islands
3f13f858-a92a-4c31-b08d-b08653362723,2023-10-10,c000d5ed-1cc4-4dd2-8c83-7764288f21df,Provide,Furniture,3,200.61,601.83,40d6e5c3-695c-46a9-b08d-ab7ca03090ca,Paula Harris,Syrian Arab Republic
c39902e6-8c45-4861-a756-dc32c1a292c0,2023-10-20,bce8b71d-bf26-40bc-a1b0-b3e1ede00cf3,Less,Electronics,11,13.2,145.2,77ce0d6f-d44d-447f-9f71-ee956140b590,Jason Cruz,Cape Verde
64d2d26d-3640-42fe-b745-afde9a48b73b,2023-12-19,c644d65c-b8b1-4a83-9692-67a6020066e8,Former,Furniture,7,489.96,3429.72,aac097a8-d4bf-4dd3-b895-b0014eca7d15,Morgan Bonilla,South Africa
6f123ccc-17b5-48e1-842f-c0b3a5c19fc6,2024-07-04,d15d9144-0438-44ed-acf0-757dda6e7988,Again,Food,20,299.71,5994.2,5f320431-29b4-4114-bf35-f07af9482ecb,Todd Floyd,Bermuda
f75f9862-fce1-4ea0-8589-761e0d74d3e3,2023-12-19,3b1ba7ca-4fd7-45dc-b092-e113264a003e,Charge,Clothing,4,71.84,287.36,86a1c717-dd23-40ab-b2f5-87bb26c6e834,Meagan Blair,Svalbard & Jan Mayen Islands
8d2b418f-8a43-442b-959e-9f94af19deda,2024-01-14,6bff24d4-4be1-43a1-8181-c536a59f0248,Everyone,Electronics,18,114.59,2062.62,bbcd3239-6aa2-4271-989e-28420c0f2f7e,Leslie Simmons,Benin
